"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000007841","ENSGALG00000007841",40,69,126,83,292,70,54,45
"ENSGALG00000037678","ENSGALG00000037678",4,3,9,9,23,10,7,5
"ENSGALG00000050268","ENSGALG00000050268",5,10,16,8,66,10,7,14
"ENSGALG00000048405","ENSGALG00000048405",2,7,7,3,49,8,10,3
"ENSGALG00000007924","STK17B",119,120,293,328,598,300,135,92
"ENSGALG00000007944","HECW2",123,91,302,211,613,330,123,161
"ENSGALG00000053501","ENSGALG00000053501",4,4,5,8,9,9,13,0
"ENSGALG00000007958","GTF3C3",284,211,656,579,1456,785,269,461
"ENSGALG00000050863","ENSGALG00000050863",44,42,120,69,187,75,52,47
"ENSGALG00000030789","PGAP1",114,84,377,385,951,431,162,95
"ENSGALG00000007996","ANKRD44",500,449,1282,1052,2407,1151,535,503
"ENSGALG00000008038","SF3B1",3872,3501,12507,13631,29026,12672,5301,6559
"ENSGALG00000038440","COQ10B",42,31,122,78,161,25,18,21
"ENSGALG00000025454","gga-mir-1603",0,3,1,3,10,1,0,1
"ENSGALG00000008094","HSPD1",8105,7213,25445,23763,38706,15761,8660,7244
"ENSGALG00000009070","HSPE1",6182,5030,16528,14115,20826,6258,5938,4581
"ENSGALG00000008128","MOB4",785,662,2471,2887,5302,2529,1318,1310
"ENSGALG00000036471","RFTN2",797,614,2464,2060,1616,710,476,235
"ENSGALG00000036160","ENSGALG00000036160",6,6,11,12,30,16,23,27
"ENSGALG00000008113","PLCL1",18,19,70,40,139,61,16,44
"ENSGALG00000054347","ENSGALG00000054347",1,1,8,0,7,9,8,5
"ENSGALG00000051837","ENSGALG00000051837",0,1,15,4,11,3,4,6
"ENSGALG00000052017","ENSGALG00000052017",2,1,7,13,23,13,6,6
"ENSGALG00000052827","ENSGALG00000052827",1,0,5,4,4,3,8,6
"ENSGALG00000049274","ENSGALG00000049274",2,3,11,3,61,8,5,3
"ENSGALG00000008135","SATB2",10,3,28,26,56,31,11,21
"ENSGALG00000008136","C7H2ORF69",149,128,719,456,687,253,159,83
"ENSGALG00000008145","TYW5",105,104,417,420,622,216,127,74
"ENSGALG00000031070","MAIP1",583,440,1709,1416,2243,920,327,139
"ENSGALG00000008152","SPATS2L",233,233,736,572,1159,559,232,359
"ENSGALG00000008155","KCTD18",55,50,176,166,287,151,92,31
"ENSGALG00000045898","ENSGALG00000045898",36,32,134,62,170,65,54,79
"ENSGALG00000008185","AOX1",55,65,178,85,444,126,84,93
"ENSGALG00000020876","AOX2",21,32,96,37,179,33,52,67
"ENSGALG00000008220","BZW1",4762,3815,14760,15454,30383,12845,6094,5815
"ENSGALG00000028438","CLK1",794,725,2615,2335,6165,2761,1147,1135
"ENSGALG00000008228","PPIL3",345,245,1043,842,1707,646,333,408
"ENSGALG00000008226","NIF3L1",599,466,2031,2242,3037,1192,585,676
"ENSGALG00000008234","ORC2",384,412,1611,1690,2396,894,365,292
"ENSGALG00000020869","ENSGALG00000020869",24,27,53,56,123,37,16,17
"ENSGALG00000008239","NDUFB3",1076,933,2934,2921,5249,1511,1190,959
"ENSGALG00000008240","CFLAR",142,109,417,464,1332,377,231,308
"ENSGALG00000046494","CASP10",31,16,76,97,202,70,30,43
"ENSGALG00000008346","CASP18",15,21,63,22,63,39,18,30
"ENSGALG00000008355","CASP8",377,334,1322,1379,2171,879,529,532
"ENSGALG00000008370","TRAK2",72,75,297,323,604,277,110,145
"ENSGALG00000008373","STRADB",177,133,511,427,1057,408,168,199
"ENSGALG00000008381","TMEM237",243,188,815,651,1198,580,289,346
"ENSGALG00000008398","MPP4",15,15,54,65,124,49,33,32
"ENSGALG00000008415","ALS2",155,170,569,463,1752,720,270,352
